IATA | Airport Name | Location Served
AWD | Aniwa Airport | Aniwa Island,Tafea, Vanuatu
AWE | Alowe Airport | Alowe,Gabon
AWK | Wake Island Airfield | Wake Island,United States Minor Outlying Islands
AWM | West Memphis Municipal Airport | West Memphis, Arkansas, United States
AWN | Alton Downs Airport | Alton Downs, South Australia, Australia
AWP | Austral Downs Airport | Austral Downs, Northern Territory, Australia
AWR | Awar Airport | Awar, Papua New Guinea
AWZ | Ahvaz International Airport | Ahvaz, Iran
AXA | Clayton J. Lloyd International Airport | The Valley,British Overseas TerritoryofAnguilla
AXB | Maxson Airfield (FAA: 89N) | Alexandria Bay, New York, United States
AXC | Aramac Airport | Aramac, Queensland, Australia
AXD | Alexandroupoli Airport(Dimokritos Airport) | Alexandroupoli, Greece
AXE | Xanxere Airport | Xanxerê,Santa Catarina, Brazil
AXF | Alxa Left Banner Bayanhot Airport | Alxa Left Banner,Inner Mongolia, China
AXG | Algona Municipal Airport(FAA: AXA) | Algona, Iowa, United States
AXJ | Amakusa Airfield[1] | Amakusa,Amakusa Islands, Japan
AXK | Ataq Airport | Ataq, Yemen
AXL | Alexandria Airport | Alexandria Station, Northern Territory, Australia
AXM | El Edén International Airport | Armenia, Colombia
AXN | Alexandria Municipal Airport(Chandler Field) | Alexandria, Minnesota, United States
AXP | Spring Point Airport | Spring Point,Acklins Island,Bahamas
AXR | Arutua Airport | Arutua,Tuamotus, French Polynesia
AXS | Altus/Quartz Mountain Regional Airport | Altus, Oklahoma, United States
AXT | Akita Airport | Akita,Honshu, Japan
AXU | Axum Airport | Axum, Ethiopia
AXV | Neil Armstrong Airport | Wapakoneta, Ohio, United States
AXX | Angel Fire Airport | Angel Fire, New Mexico, United States
AYA | Ayapel Airport | Ayapel, Colombia
AYC | Ayacucho Airport | Ayacucho,Colombia
AYD | Alroy Downs Airport | Alroy Downs, Northern Territory, Australia
AYG | Yaguara Airport | Yaguara, Colombia
AYI | Yari Airport | Yari,Colombia
AYJ | Ayodhya Airport | Ayodhya,Uttar Pradesh, India
AYK | Arkalyk Airport | Arkalyk, Kazakhstan
AYL | Anthony Lagoon Airport | Anthony Lagoon, Northern Territory, Australia
AYM | Yas Island Seaplane Base[1] | Yas Island,Abu Dhabi, United Arab Emirates
AYN | Anyang Airport | Anyang,Henan, China
AYO | Juan de Ayolas Airport | Ayolas, Paraguay
AYP | Coronel FAP Alfredo Mendívil Duarte Airport | Ayacucho, Peru
AYQ | Ayers Rock Airport | Yulara, Northern Territory, Australia
AYR | Ayr Airport | Ayr, Queensland, Australia
AYS | Waycross–Ware County Airport | Waycross, Georgia, United States
AYT | Antalya Airport | Antalya, Turkey
AYU | Aiyura Airport | Aiyura, Papua New Guinea
AYW | Ayawasi Airport | Ayawasi,West Papua, Indonesia
AYX | Tnte. Gral. Gerardo Pérez Pinedo Airport | Atalaya Province,Department of Ucayali, Peru
AYY | Arugam Bay Seaplane Base[1] | Pottuvil, Sri Lanka
AZA | Phoenix–Mesa Gateway Airport(FAA: IWA) | Phoenix, Arizona, United States
AZB | Amazon Bay Airport | Amazon Bay, Papua New Guinea
AZD | Shahid Sadooghi Airport | Yazd, Iran
AZG | Pablo L. Sidar Airport | Apatzingán,Michoacán, Mexico
AZI | Al Bateen Executive Airport | Abu Dhabi, United Arab Emirates
AZL | Fazenda Tucunaré Airport[1] | Sapezal,Mato Grosso, Brazil
AZN | Andizhan Airport | Andizhan, Uzbekistan
AZO | Kalamazoo/Battle Creek International Airport | Kalamazoo, Michigan, United States
AZP | Jorge Jiménez Cantú National Airport | Ciudad López Mateos,State of Mexico, Mexico
AZR | Touat-Cheikh Sidi Mohamed Belkebir Airport | Adrar, Algeria
AZS | Samaná El Catey International Airport | El Catey,Dominican Republic
AZT | Zapatoca Airport | Zapatoca, Colombia
AZZ | Ambriz Airport | Ambriz, Angola
